,Tissue,Delivery,Date,Animal,Test,Function,Parent,Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
Naive_HEK293T_ZC81_R_motif_Barcode_10,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,10,10otif,tif,Naive_HEK293T_ZC81_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC81_R_motif_Barcode_11,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,11,11otif,tif,Naive_HEK293T_ZC81_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC81_R_motif_Barcode_12,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,12,12otif,tif,Naive_HEK293T_ZC81_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC81_R_motif_Barcode_13,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,13,13otif,tif,Naive_HEK293T_ZC81_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC81_R_motif_Barcode_14,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,14,14otif,tif,Naive_HEK293T_ZC81_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC81_R_motif_Barcode_15,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,15,15otif,tif,Naive_HEK293T_ZC81_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC81_R_ref_Barcode_1,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,1,1_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_2,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,2,2_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_3,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,3,3_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_4,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,4,4_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_5,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,5,5_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_6,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,6,6_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_7,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,7,7_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_8,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,8,8_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_9,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,9,9_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_10,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,10,10_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_11,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,11,11_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_12,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,12,12_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_13,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,13,13_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_14,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,14,14_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_ref_Barcode_15,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,15,15_ref,ref,Naive_HEK293T_ZC81_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_1,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,1,1alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_2,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,2,2alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_3,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,3,3alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_4,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,4,4alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_5,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,5,5alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_6,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,6,6alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_7,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,7,7alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_8,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,8,8alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_9,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,9,9alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_10,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,10,10alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_11,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,11,11alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_12,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,12,12alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_13,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,13,13alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_14,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,14,14alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt1_Barcode_15,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,15,15alt1,lt1,Naive_HEK293T_ZC81_R_lt1,HEK293T_lt1,HEK293T_lt1,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_1,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,1,1alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_2,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,2,2alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_3,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,3,3alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_4,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,4,4alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_5,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,5,5alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_6,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,6,6alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_7,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,7,7alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_8,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,8,8alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_9,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,9,9alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_10,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,10,10alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_11,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,11,11alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_12,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,12,12alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_13,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,13,13alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_14,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,14,14alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt2_Barcode_15,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,15,15alt2,lt2,Naive_HEK293T_ZC81_R_lt2,HEK293T_lt2,HEK293T_lt2,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_1,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,1,1alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_2,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,2,2alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_3,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,3,3alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_4,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,4,4alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_5,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,5,5alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_6,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,6,6alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_7,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,7,7alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_8,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,8,8alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_9,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,9,9alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_10,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,10,10alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_11,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,11,11alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_12,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,12,12alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_13,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,13,13alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_14,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,14,14alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
Naive_HEK293T_ZC81_R_alt3_Barcode_15,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,Column,15,15alt3,lt3,Naive_HEK293T_ZC81_R_lt3,HEK293T_lt3,HEK293T_lt3,Allele
